DEdeg,solution_id,designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,grp,distance,mag,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error
-1.123175,1.64e+18,Gaia DR3 3071095203702171264,3.07e+18,124.8166328,0.011188379,-1.123601932,0.009425822,8.090557998,0.015468228,523.04364,1.1160707,104189.6679,13.1428051,14.009413,12.221223,1.7881899,0.9215821000000002,123.60086909298491,7.68269747758874,,,,,,,,
41.315638,1.64e+18,Gaia DR3 381232880722725632,3.81e+17,9.971655857,0.013083288,41.31567077,0.010401653,8.565693716,0.016452657,520.6268,0.96911013,75070.87053,13.4986887,14.46116,12.527183,1.9339771,0.9715056999999998,116.74477668190302,8.162501406227792,,,,,,,,
57.642751,1.64e+18,Gaia DR3 1034488472910437376,1.03e+18,128.1589114,0.015148024,57.64222481,0.01385547,11.83970662,0.022927256,516.40314,1.0942945,25640.00901,14.66507149,16.069939,13.503071,2.5668678,1.1620004900000005,84.4615523082953,10.031776194969263,,,,,,,,
35.855533,1.64e+18,Gaia DR3 140978010820738688,1.41e+17,41.23914408,0.012789521,35.85524961,0.011656971,7.73457845,0.015011293,515.2507,1.0488515,75132.409,13.49779892,14.388783,12.563446,1.8253374,0.9343529199999985,129.28952837759374,7.9399821638112025,,,,,,,,
0.098089,1.64e+18,Gaia DR3 3083622214558036736,3.08e+18,122.0715861,0.015187023,0.098022284,0.009411314,9.332313493,0.018162815,513.8143,1.124517,55612.11606,13.82444286,14.938971,12.774324,2.1646461,1.0501188599999995,107.15456577300817,8.674389456382915,,,,,,,,
22.1248,1.64e+18,Gaia DR3 3423686695577905408,3.42e+18,90.74775287,0.020540398,22.12463101,0.017778795,13.60222057,0.027163174,500.7596,1.1554767,46090.99912,14.02832699,15.400901,12.873191,2.52771,1.1551359899999998,73.51740804773614,9.696376054856788,,,,,,,,
42.122511,1.64e+18,Gaia DR3 381361970265014784,3.81e+17,10.03684346,0.010939155,42.1224638,0.010262677,7.876356033,0.015733156,500.62146,1.0955229,95438.50839,13.23805809,14.089503,12.332965,1.7565384,0.9050930900000012,126.96226475926751,7.719684786086451,,,,,,,,
0.734787,1.64e+18,Gaia DR3 3089577684927851136,3.09e+18,123.8919847,0.013938602,0.734430308,0.010740848,7.935775255,0.01600471,495.84,1.0192895,135542.5555,12.857178,13.644665,11.991152,1.653513,0.8660259999999997,126.01163312556537,7.3551247994507225,,,,,,,,
0.680893,1.64e+18,Gaia DR3 3083765082349197568,3.08e+18,122.602203,0.017779244,0.680660407,0.014597041,10.21244458,0.020699102,493.3762,1.0244913,44657.34752,14.062634,15.306324,12.95907,2.3472538,1.1035639999999987,97.91974802569749,9.108282563778005,,,,,,,,
25.120087,1.64e+18,Gaia DR3 3429522658484247040,3.43e+18,89.9600632,0.012678124,25.11989399,0.010647096,7.462888287,0.015260715,489.02612,1.0472759,93470.0457,13.26068592,14.129368,12.335273,1.794095,0.9254129199999994,133.99637801653188,7.6252206232764514,,,,,,,,
33.703121,1.64e+18,Gaia DR3 136722866461088512,1.37e+17,43.9300416,0.015885372,33.70273247,0.014340864,8.871454969,0.01825487,485.97742,1.0644931,50377.30816,13.93177986,14.998746,12.90791,2.0908356,1.0238698600000014,112.72108165958724,8.671754122173763,,,,,,,,
22.252203,1.64e+18,Gaia DR3 3423693425791987456,3.42e+18,90.66916702,0.014562838,22.25213603,0.012464327,8.175315679,0.017152788,476.61734,1.0751984,92940.22666,13.26685715,14.143467,12.3437395,1.7997274,0.92311765,122.31943563582604,7.829379806815011,,,,,,,,
55.711164,1.64e+18,Gaia DR3 1033233174228723328,1.03e+18,124.0397692,0.011862036,55.71107321,0.010363927,6.623355623,0.013917959,475.88553,1.2095706,83777.83605,13.37954426,14.16386,12.486202,1.6776581,0.8933422599999989,150.98087086362085,7.484934629648006,,,,,,,,
22.815281,1.64e+18,Gaia DR3 3424527100418560384,3.42e+18,89.49212798,0.020700246,22.81514605,0.0184984,12.34196374,0.02596599,475.31265,1.2046053,37247.282,14.2596302,15.628891,13.088355,2.540536,1.1712752000000002,81.02438323968046,9.716551530736577,,,,,,,,
1.397468,1.64e+18,Gaia DR3 3077994776605425920,3.08e+18,126.2884929,0.013091104,1.397257533,0.011238215,8.887290642,0.018804152,472.62387,1.1748667,93405.49952,13.26143551,14.233145,12.282802,1.9503431,0.9786335099999999,112.52023144985833,8.00528242589301,,,,,,,,
-0.14308,1.64e+18,Gaia DR3 3077404029624141184,3.08e+18,124.9664645,0.012280468,-0.14328782,0.009898759,8.05897421,0.017277455,466.44452,0.99358225,73773.41116,13.51761723,14.346526,12.626836,1.7196903,0.89078123,124.08527114519701,8.049016059814601,,,,,,,,
34.624314,1.64e+18,Gaia DR3 140104311393395072,1.4e+17,41.84771424,0.014672191,34.62422316,0.012881196,7.721961288,0.016649095,463.80664,1.0732764,65892.77941,13.64027214,14.523161,12.712091,1.8110695,0.9281811400000013,129.50077871460056,8.07891024036781,,,,,,,,
23.157054,1.64e+18,Gaia DR3 3424639147526052224,3.42e+18,90.4351752,0.01873881,23.15681284,0.016367106,10.62988704,0.02300884,461.99142,1.180986,38497.87006,14.22377491,15.572119,13.079651,2.4924679,1.1441239099999994,94.07437691830825,9.356418157280014,,,,,,,,
24.789051,1.64e+18,Gaia DR3 3425933856826523520,3.43e+18,93.13141158,0.023865597,24.78867524,0.021276496,12.76314242,0.027866326,458.0131,1.0858512,21176.28343,14.87274265,16.399477,13.664658,2.7348194,1.20808465,78.35061046039789,10.402530727116112,,,,,,,,
42.481668,1.64e+18,Gaia DR3 375345305192788736,3.75e+17,11.5511597,0.023080263,42.48195032,0.019481825,13.73256117,0.03018162,454.99747,1.0361823,15805.99596,15.19031239,16.744066,13.982627,2.7614393,1.20768539,72.819628299533,10.879070101044551,,,,,,,,
-1.171803,1.64e+18,Gaia DR3 3071232230340364032,3.07e+18,123.0798036,0.013711934,-1.172062157,0.012080133,8.479643583,0.018640023,454.91595,1.1139046,55309.21149,13.83037281,14.912722,12.796363,2.1163588,1.0340098100000006,117.92948491429537,8.472260801714357,,,,,,,,
44.376937,1.64e+18,Gaia DR3 376666230974747264,3.77e+17,17.41029876,0.015118959,44.37678542,0.013599502,8.284322218,0.018290412,452.9325,0.99195635,49717.8073,13.94608688,14.964344,12.946082,2.018262,1.0000048799999988,120.70993542805725,8.5373717919822,,,,,,,,
54.63417,1.64e+18,Gaia DR3 1032317384121966592,1.03e+18,125.5046917,0.014206723,54.63405038,0.014001742,9.683564884,0.021530246,449.76566,1.1391765,122876.8249,12.96369171,13.8196535,12.048875,1.7707787,0.9148167100000002,103.26775438374807,7.8938680442887765,,,,,,,,
30.688621,1.64e+18,Gaia DR3 4014487656486403968,4.01e+18,182.3047611,0.021429846,30.68869499,0.018614836,11.03297129,0.024552075,449.3702,1.1658874,32115.96862,14.42056465,15.480428,13.401041,2.0793867,1.01952365,90.63741522706346,9.634027090294648,,,,,,,,
12.597134,1.64e+18,Gaia DR3 1767134851939382784,1.77e+18,326.2348419,0.023532199,12.5966919,0.020749265,13.27565988,0.029707843,446.8739,1.0349236,17498.58793,15.07985973,16.202816,14.029413,2.1734028,1.0504467300000009,75.32582252325676,10.695140316665903,,,,,,,,
56.189302,1.64e+18,Gaia DR3 1033408580693606144,1.03e+18,122.2002796,0.016036471,56.18917548,0.015453665,10.55625704,0.02376198,444.24988,1.1009777,31711.76456,14.43431568,15.558459,13.381515,2.1769447,1.052800679999999,94.7305466521683,9.55186546273747,,,,,,,,
58.571964,1.64e+18,Gaia DR3 1035559156717622528,1.04e+18,125.8442798,0.016989671,58.57197884,0.017005112,10.52915793,0.023876335,440.98718,1.0578866,24105.26375,14.732087,16.114363,13.577351,2.537012,1.1547359999999998,94.9743566055524,9.844055199242874,,,,,,,,
0.791543,1.64e+18,Gaia DR3 3077938083037278208,3.08e+18,126.0334349,0.013170185,0.791324463,0.012015885,7.428423523,0.016992843,437.15012,1.0482004,57703.35748,13.78436375,14.721231,12.828428,1.8928032,0.9559357500000001,134.61806491024436,8.1388470328632,,,,,,,,
41.166626,1.64e+18,Gaia DR3 230345113336895360,2.3e+17,60.15670595,0.014979208,41.16656529,0.009606206,8.077837547,0.018762842,430.52313,1.071333,74418.07375,13.50817108,14.421841,12.563179,1.8586617,0.9449920800000005,123.79550766917646,8.044646654232423,,,,,,,,
58.123437,1.64e+18,Gaia DR3 1035170273199034880,1.04e+18,125.33905,0.014289915,58.12323058,0.013652246,8.339804878,0.019449113,428.8013,1.0323323,32693.33527,14.40121841,15.470669,13.3750725,2.0955963,1.0261459100000003,119.90688207082054,9.006997858992529,,,,,,,,
33.840476,1.64e+18,Gaia DR3 139730580518876544,1.4e+17,42.29340668,0.019952741,33.84064769,0.017338295,9.503111997,0.022447126,423.35538,1.0570201,38967.57889,14.21060848,15.216306,13.218213,1.9980927,0.992395479999999,105.22868722537271,9.099937717922176,,,,,,,,
45.841183,1.64e+18,Gaia DR3 398111518080116352,3.98e+17,20.53093278,0.014558237,45.8410233,0.014867389,6.940933711,0.01639669,423.3131,1.0202528,59391.02085,13.75306511,14.642702,12.825706,1.8169966,0.9273591099999994,144.07283539031627,7.960154593584781,,,,,,,,
-8.490858,1.64e+18,Gaia DR3 5167633186587095552,5.17e+18,47.06594939,0.014941301,-8.490808594,0.013475055,7.242305424,0.017209398,420.83435,1.0759175,57590.01252,13.78649902,14.698265,12.846528,1.851737,0.9399710200000015,138.077579093273,8.085883200118896,,,,,,,,
25.099159,1.64e+18,Gaia DR3 727369208547409152,7.27e+17,157.9244287,0.014487592,25.09892939,0.016050758,7.982116342,0.019459397,410.19342,1.0090286,56211.66444,13.81280041,14.629802,12.929019,1.7007828,0.8837814099999992,125.28005821441583,8.323390677403133,,,,,,,,
20.948188,1.64e+18,Gaia DR3 3423129896018059776,3.42e+18,89.34388018,0.017453792,20.94826724,0.01412477,8.420523419,0.020573381,409.29214,1.0687151,38011.30859,14.23758507,15.300515,13.213223,2.0872917,1.0243620700000005,118.75746319327467,8.864280510228795,,,,,,,,
