parallax,phot_g_mean_mag,bp_rp
1.591690789,20.4368,1.4456711
1.586900081,20.796753,2.155695
1.582757948,19.70806,2.5289078
1.572654778,17.91403,2.0172882
1.572259159,20.586658,2.3463783
1.571692928,20.617157,1.9198246
1.567224111,19.496601,2.375208
1.565973928,20.794844,1.518156
1.565970332,19.35776,2.1952572
1.560071917,20.72699,1.9676132
1.559568815,18.193918,2.4739075
1.559220532,20.594896,2.2367325
1.557491287,20.931274,2.1495037
1.55674058,20.521364,1.7298203
1.555651226,17.828907,2.226797
1.54882031,19.953756,2.560461
1.546424464,20.523722,1.6797256
1.545658629,15.696358,1.3446798
1.545326107,19.162445,2.4552135
1.543441536,17.07398,1.8551521
1.541287629,17.6894,2.0501728
1.540537157,16.973804,1.6879187
1.534475907,20.523,1.7387829
1.53389335,19.7333,2.2712688
1.532556513,20.547232,1.0815201
1.530749313,20.438692,1.5892735
1.516836192,20.681581,1.0304775
1.514026588,18.82281,2.4246082
1.514026135,20.862131,1.4746895
1.510626569,20.610035,0.8723812
1.510136446,19.964981,2.542118
1.51002111,20.72141,1.5281277
1.505262919,20.275145,1.7757549
1.503903637,20.765852,1.3043289
1.501626661,17.81651,2.1320972
1.501601505,19.858967,2.5549927
1.498386822,20.770153,1.2553024
1.49830696,20.477543,1.859312
1.495873395,19.437172,2.850811
1.495514263,12.744557,1.1521912
1.49245328,19.441736,2.2961903
1.490366832,14.670674,1.1402588
1.489069957,19.695969,2.3480186
1.486465195,16.038265,1.5064497
1.482531867,19.927622,2.330162
1.481826825,11.786175,0.85374355
1.480317392,20.52203,1.292799
1.474122405,19.779501,1.8952351
1.474047344,19.764782,2.062029
1.472051505,18.235662,2.2537098
1.470740426,20.446274,1.635952
1.469615926,19.457897,2.0102959
1.467289139,16.893248,1.7915573
1.464676637,20.39845,0.9970379
1.461619835,18.168219,2.3695583
1.459922359,18.736868,2.0585423
1.457491348,19.654188,2.7523384
1.456818737,19.233675,2.6473637
1.456659828,20.534565,1.0894909
1.455251155,19.646786,2.054922
1.453885328,20.584631,2.2822666
1.449754278,20.665043,1.4115448
1.448222766,20.8179,1.4940739
