RAdeg,DEdeg,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,RA,dec
22.678519,-1.536265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.6925,-3.809163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.795324,-0.652972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.801137,-2.27288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.859663,-1.16741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.866311,30.743882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.040012,28.235436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.065374,21.321708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.094033,29.863998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.118654,-1.150118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.119392,31.116519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.173523,29.866328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.212058,-1.919431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.334625,-3.258569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.364429,1.079167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.442649,13.472893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.468755,29.419372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.547768,30.185661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.582569,0.203279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.702959,28.949587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.71862,-1.077197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.743822,-0.443546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.752598,28.394234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.760505,42.323509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.014843,30.768839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.170862,30.032994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.198047,33.936916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.237931,28.698575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.287273,41.806284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.48043,-9.66164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.570857,41.7319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5724,-8.38383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.845723,26.785129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.891318,24.701725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.930162,29.98055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.050552,-1.157919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.757301,57.848407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.778332,23.546246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.850014,23.44725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.32585,38.148012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.32585,38.148012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.32585,38.148012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.335457,25.627443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.488871,37.502296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.561533,29.144041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.582409,24.027056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.795172,31.725667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.203484,0.700552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.228324,21.068785,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.305931,31.416421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.510681,0.009725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.651509,32.813679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.755507,22.967384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.843995,-1.04521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.073694,4.586243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.115279,29.800702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.321884,8.16683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.720101,8.086305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.739379,8.280675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.87267,0.21876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.115196,-0.532733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.132713,0.696012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.147396,0.72305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.27104,31.907936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.493077,46.616158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.559909,9.551027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.728351,8.847509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.73204,-0.367207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.837456,1.823847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.917311,0.147267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.982608,17.959774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
