,RAdeg,DEdeg,pmRA,pmDE,e_RAdeg,e_DEdeg,e_pmRA,e_pmDE,flag,Jmag,Hmag,Ksmag,SpType,Dist
444,18.138566,47.715465,13.4,-9.8,63,63,4.0,4.0,P,14.906,14.186,13.938,esdK7.0+,317
445,17.387764,47.632998,-19.7,-31.8,63,69,4.0,4.0,P,14.424,13.734,13.491,dM0.5,441
446,43.10411,32.827205,40.0,-42.5,66,72,5.6,5.7,P,12.207,11.611,11.371,dM4.0,59
447,43.269904,32.877611,9.1,-14.6,63,63,4.2,4.2,P,14.634,14.032,13.655,dM2.5,336
448,43.158104,32.841756,-6.9,-4.8,67,67,4.3,4.3,P,15.327,14.711,14.467,dK7.0,881
449,43.111657,32.619052,17.4,-17.2,63,63,4.2,4.2,P,14.167,13.548,13.209,dM4.0,145
450,43.219338,32.748438,-10.0,-44.7,63,63,4.2,4.2,P,14.207,13.606,13.409,dM3.5-,182
451,43.03443,32.749489,5.2,-8.2,69,69,4.3,4.3,P,15.555,14.936,14.671,dK7.5-,893
452,42.356839,32.793355,17.6,-22.7,69,69,4.3,4.3,P,15.475,14.773,14.659,sdK7.0+,767
453,42.346645,33.040732,9.3,-7.1,63,63,4.2,4.2,P,13.35,12.683,12.442,dM0.5-,269
454,42.216901,32.973419,40.2,-11.5,63,63,4.2,4.2,P,14.814,14.189,13.892,dM2.0-,400
455,42.567035,32.93945,6.3,-12.5,69,69,4.3,4.3,P,15.57,14.87,14.685,dK7.5-,899
456,42.245351,33.142296,4.9,-16.7,63,63,4.2,4.2,P,13.761,13.079,12.838,dM0.0-,356
457,42.458989,33.144411,5.1,-5.1,63,63,4.2,4.2,P,13.845,13.148,12.974,dK7.5-,406
458,42.721442,33.053668,4.0,11.2,63,63,4.2,4.2,P,14.162,13.441,13.185,dM1.5-,325
459,42.700137,33.024897,20.0,-38.2,63,63,4.2,4.2,P,14.219,13.557,13.291,dM3.5,183
460,42.912341,33.208011,6.0,-3.3,63,63,4.2,4.2,P,14.503,13.82,13.643,dK7.0,603
461,42.73758,32.949829,-34.4,-39.6,63,63,4.2,4.2,P,13.805,13.237,13.022,dM4.0+,123
462,43.255736,33.017189,64.9,-15.3,63,63,4.2,4.2,P,14.734,14.082,13.737,dM3.0+,286
463,43.142127,33.362294,15.6,-33.9,63,63,4.2,4.2,P,13.005,12.288,12.114,dM1.0,209
464,42.992674,33.334806,9.5,-15.0,63,63,4.2,4.2,P,14.966,14.258,13.994,dM1.0+,516
465,42.775609,33.348162,108.3,-68.2,63,63,4.2,4.2,P,12.576,11.954,11.709,dM3.5+,86
466,42.655588,33.484684,2.9,-11.5,69,69,4.3,4.3,P,15.69,14.891,14.701,dK7.5+,950
467,43.550535,32.828491,8.3,0.2,65,65,4.2,4.2,P,15.097,14.315,14.226,dK7.0+,793
468,43.318478,32.820594,3.0,-7.8,64,64,4.2,4.2,P,14.912,14.305,14.047,dM1.0-,503
469,43.509618,32.672923,4.8,-16.0,68,68,4.3,4.3,P,15.461,14.753,14.487,dK7.0+,937
470,43.405983,32.823118,3.4,-5.1,63,63,4.2,4.2,P,14.786,14.061,13.748,dM2.0+,395
471,43.577316,32.937548,18.0,-21.2,63,63,4.2,4.2,P,13.946,13.358,13.104,dM3.0,199
472,42.82506,32.72225,1.8,-17.8,65,65,4.2,4.2,P,15.169,14.43,14.226,dM1.0,567
473,42.681724,32.717041,-22.9,-16.5,63,63,4.2,4.2,P,13.892,13.17,12.984,dK7.0,455
474,42.526501,32.836917,-26.5,-20.6,63,63,4.2,4.2,P,14.881,14.177,13.963,dM2.0,413
475,42.258793,32.862674,-6.9,-13.5,63,63,4.2,4.2,P,13.82,13.129,12.946,dM2.0-,253
476,41.881704,32.790155,66.2,-38.4,63,63,4.2,4.2,P,14.527,13.814,13.513,dM3.5-,211
477,41.986374,32.717996,6.4,-4.4,63,63,4.2,4.2,P,14.043,13.34,13.094,dM1.0,337
478,42.129361,32.772294,6.7,-63.4,63,63,4.2,4.2,P,13.233,12.59,12.338,dM3.5,116
479,42.306441,35.249459,2.3,-2.1,64,64,4.2,4.2,P,14.851,14.196,14.069,dK7.5+,645
480,42.449469,35.214197,19.3,-6.7,63,63,4.2,4.2,P,13.411,12.761,12.527,dM3.0,155
481,42.72441,35.649145,1.0,-5.0,65,65,4.2,4.2,P,15.161,14.438,14.15,dM0.5,619
482,43.273365,34.83763,-38.5,-32.4,63,63,4.2,4.2,P,13.337,12.691,12.501,dM1.5,222
483,42.355596,35.14059,84.3,-210.7,69,69,4.2,4.2,P,13.671,12.991,12.85,dK7.0+,411
484,42.429729,34.770844,9.1,0.6,68,68,4.3,4.3,P,15.482,14.667,14.539,dK7.0,947
485,42.504064,34.826343,24.0,-29.2,63,63,4.2,4.2,P,14.079,13.418,13.197,dM1.5,313
486,42.374412,34.898121,-2.6,-21.1,63,63,4.2,4.2,P,13.218,12.578,12.354,dM1.0,230
487,43.366044,35.544566,8.4,-3.2,65,65,4.2,4.2,P,15.138,14.404,14.199,dK7.0-,808
488,43.057586,35.555425,-10.9,-22.3,63,63,4.2,4.2,P,14.131,13.527,13.251,dM4.0,143
489,41.732933,34.370438,5.9,-21.6,63,63,4.2,4.2,P,14.009,13.273,13.127,dM1.0-,332
490,41.916924,33.58185,0.5,-30.4,63,63,4.2,4.2,P,13.585,12.869,12.657,sdK7.0+,321
491,44.721888,33.95318,-2.9,-7.3,65,65,4.2,4.2,P,15.207,14.417,14.232,dM0.0,694
492,44.965285,34.821349,-1.9,0.6,63,63,4.0,4.0,P,14.469,13.837,13.61,dK7.0,594
493,45.136691,34.883528,-15.8,-16.1,63,63,4.2,4.2,P,13.929,13.2,12.96,dM0.5,351
494,45.3793,34.890559,5.4,-15.3,68,68,4.3,4.3,P,15.448,14.77,14.481,dM0.5,707
495,45.51768,34.879386,-11.2,14.9,63,63,4.2,4.2,P,14.289,13.582,13.417,dM2.0,314
496,45.502894,34.796484,-3.1,-39.8,63,63,4.2,4.2,P,13.091,12.428,12.176,dM3.5+,109
497,45.831715,34.869553,4.4,-10.0,64,64,4.2,4.2,P,15.08,14.344,14.133,dK7.0-,787
498,44.862469,34.526226,25.7,-35.3,63,63,4.0,4.0,P,14.12,13.437,13.212,dM3.5+,175
499,45.406634,34.154599,-9.1,-17.8,63,63,4.2,4.2,P,14.051,13.334,13.086,dM1.0,339
500,45.380862,34.046131,-23.8,4.6,70,70,4.3,4.3,P,15.683,15.082,14.746,dM0.5,788
501,45.508226,34.103712,-10.5,-6.9,63,63,4.2,4.2,P,15.05,14.369,14.04,dM2.0,446
502,45.504062,33.826327,19.3,-27.6,67,67,4.3,4.3,P,15.244,14.535,14.409,dK7.5,774
503,45.725986,34.548959,-4.5,-36.0,63,63,4.2,4.2,P,13.086,12.44,12.219,dM1.5+,198
504,45.448902,34.562821,15.1,-68.7,63,63,4.2,4.2,P,12.457,11.853,11.604,dM3.5,81
505,45.259121,34.754706,29.5,-37.1,63,63,4.2,4.2,P,14.728,14.012,13.77,dM1.5+,422
506,45.363432,34.678421,8.5,-5.6,63,63,4.2,4.2,P,14.965,14.259,13.975,dM3.5,258
507,45.482374,34.439098,-0.5,-7.1,69,69,4.3,4.3,P,15.509,14.918,14.641,dK7.0,958
508,45.732616,34.342169,8.7,-33.4,63,63,4.2,4.2,P,13.981,13.293,13.033,dM1.5,299
509,45.324335,34.371529,0.8,-7.6,67,67,5.7,5.7,P,15.192,14.468,14.159,dM2.5,434
510,45.590563,34.445361,-13.4,-20.1,63,63,4.2,4.2,P,13.857,13.16,12.945,dM0.5-,339
511,45.53001,34.299277,-5.2,-1.8,69,69,4.3,4.3,P,15.757,15.031,14.696,dM0.5,815
512,45.29264,34.363157,15.8,-26.4,63,63,4.2,4.2,P,14.429,13.683,13.403,dM2.5+,306
513,45.237981,34.443557,16.8,-19.9,63,63,4.2,4.2,P,14.827,14.049,13.798,dM2.5+,367
514,44.897746,34.242983,39.5,-6.2,63,63,4.0,4.0,P,13.487,12.885,12.622,dM4.5,86
515,45.224924,34.482126,-11.9,-17.1,63,63,4.2,4.2,P,14.181,13.47,13.227,dM0.5-,394
516,44.939819,34.388152,71.4,-43.2,63,63,4.0,4.0,P,13.546,12.977,12.651,dM4.5,88
517,45.279142,34.212929,-7.7,-16.1,66,66,4.2,4.2,P,15.11,14.411,14.263,dM0.0,663
518,45.154811,34.025107,53.6,-18.7,66,66,5.6,5.6,P,13.375,12.66,12.446,dM0.5,272
519,45.058206,33.935425,4.5,-14.6,64,64,4.2,4.2,P,14.964,14.331,14.058,dM0.0,620
520,45.068766,34.044879,5.5,-10.6,63,63,4.2,4.2,P,14.904,14.19,13.942,dM1.0,502
521,44.949388,34.046323,48.8,-14.0,63,63,4.0,4.0,P,13.489,12.888,12.592,dM3.5+,131
522,44.332934,34.210563,-1.2,-10.1,63,63,4.2,4.2,P,14.682,13.97,13.698,dM3.5+,227
523,44.696566,34.478581,30.3,-111.0,87,94,6.0,6.0,P,16.125,15.317,15.226,sdK7.0+,1035
524,44.586753,34.397132,-14.6,-8.8,71,71,4.3,4.3,P,15.681,14.992,14.861,dK7.5+,946
525,43.699807,34.507218,44.2,-16.6,63,63,4.2,4.2,P,12.994,12.371,12.127,dM2.0,173
526,43.891091,34.183808,1.6,-4.5,63,63,4.2,4.2,P,14.692,13.992,13.752,dM1.0-,455
527,43.969343,34.381509,18.7,-131.5,63,63,4.2,4.2,P,11.716,11.136,10.839,dM4.0,47
528,43.643896,34.87222,12.2,-6.3,71,71,4.3,4.3,P,15.759,15.199,14.862,dK7.5+,981
529,43.769814,34.915957,-4.0,-10.6,63,63,4.2,4.2,P,14.335,13.656,13.42,dM0.5-,423
530,43.735105,34.849206,9.7,14.2,65,65,4.2,4.2,P,15.096,14.395,14.212,dM0.0+,659
531,44.049422,34.980925,2.5,-7.4,67,67,4.3,4.3,P,15.392,14.719,14.459,dM0.0+,755
532,44.112687,34.673215,8.2,20.7,63,66,4.2,4.2,P,14.725,13.912,13.749,dM0.5,506
533,44.550407,34.577651,-2.0,-24.4,63,63,4.2,4.2,P,14.126,13.446,13.195,dM3.5+,175
534,44.160405,34.818094,25.5,-32.5,63,63,4.2,4.2,P,14.867,14.197,13.892,dM2.5-,374
535,44.468691,34.858905,6.9,-13.7,64,64,4.0,4.0,P,15.089,14.394,14.134,dM3.0,337
536,44.618163,34.883898,50.8,-27.5,92,92,6.1,6.1,P,,,,dM1.0+,
537,43.814426,34.141483,-1.5,-3.0,70,70,4.3,4.3,P,15.713,14.963,14.808,dK7.0-,1053
538,44.016574,34.124036,3.6,-5.5,63,63,4.2,4.2,P,13.29,12.641,12.398,dM1.5,217
539,43.770905,33.992117,16.7,-15.6,63,63,4.2,4.2,P,13.027,12.408,12.106,dM4.0,86
540,44.033564,34.195119,15.5,-16.2,63,63,4.2,4.2,P,14.863,14.132,14.03,dK7.5+,649
541,43.551014,34.375316,-4.6,-12.4,63,63,4.2,4.2,P,14.314,13.626,13.345,dM1.5+,348
542,43.322431,33.927039,-27.6,4.2,67,67,4.2,4.2,P,15.359,14.618,14.404,dM0.0,744
543,43.447986,33.872506,-5.1,-2.8,66,66,4.2,4.2,P,15.226,14.568,14.345,dM1.5,531
544,43.350644,33.704868,-0.1,-4.0,68,68,4.3,4.3,P,15.58,14.689,14.52,dM1.5,625
545,43.543118,33.648103,24.0,-18.8,63,63,4.2,4.2,P,14.826,14.144,13.873,dM3.0+,298
546,43.806489,33.622813,1.8,-15.7,63,63,4.2,4.2,P,14.535,13.874,13.596,dM3.5,212
547,43.607921,33.634482,15.4,1.0,63,63,4.2,4.2,P,14.073,13.337,13.157,dM1.0,342
548,43.817117,34.800212,8.4,-21.0,67,67,4.3,4.3,P,15.392,14.603,14.451,dM0.5,689
549,43.733626,34.605568,11.1,-8.1,71,71,4.3,4.3,P,15.606,14.934,14.846,dK7.5+,914
550,43.582933,34.679074,27.3,-17.0,69,69,4.3,4.3,P,15.521,14.791,14.627,dM0.5,731
551,42.605868,37.159771,2.9,-8.9,63,63,4.1,4.1,P,14.705,13.96,13.738,dM3.0,282
552,42.587266,37.081695,-12.5,2.9,63,63,4.1,4.1,P,14.294,13.672,13.395,dM1.5,345
553,42.515866,37.011507,17.9,-16.6,63,63,4.0,4.0,P,13.62,12.944,12.674,dM3.0,171
554,42.310907,37.182515,15.8,-17.6,63,63,4.0,4.0,P,14.83,14.106,13.861,dM2.0+,403
