designation,source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag
Gaia DR3 6024231497172728832,6024231497172728832,248.62825409204876,-33.25174034438041,0.6221053862039042,0.031104477,0.9630698,16964.469066426,4.842397,3503.3203,15.113516,5856.340187846722,14.93076,392.23322,15.9194765,16019.130652549904,10.244132,1563.7372,14.236299
Gaia DR3 6045591331589420928,6045591331589420928,247.09323369690364,-26.859275534539982,1.5550335143362208,0.07774969,1.0040371,3203.731710137003,2.3841634,1343.7551,16.923227,1056.251426639389,8.347355,126.53726,17.779123,3126.278559083958,9.727719,321.37836,16.010326
Gaia DR3 5940773582467351552,5940773582467351552,247.37401478727037,-48.67961286941658,0.7544594564292607,0.03772201,0.98465955,8581.27983875139,3.6741,2335.6143,15.853487,3680.1459450320162,8.197454,448.93765,16.42388,7065.042848169459,10.799872,654.17834,15.125109
Gaia DR3 3117100969235393024,3117100969235393024,97.65109396573067,-2.9877756207648023,0.7598523533599321,0.037991647,0.97012407,8687.441282460442,3.9485762,2200.1453,15.8401375,4097.0915485299365,26.434248,154.99179,16.307354,6588.562906314521,13.0813,503.66272,15.200919
Gaia DR3 3162934386314972544,3162934386314972544,110.38568492788782,11.436531829340021,0.6083545546494515,0.03041695,0.9588374,13769.128697506576,5.5497174,2481.0503,15.3401,7494.923092187619,19.64527,381.51288,15.651625,9350.338690438679,23.132647,404.20532,14.8208275
Gaia DR3 5600359216213446272,5600359216213446272,118.08775721072884,-28.910615908657576,0.3598861350758826,0.017993845,1.0245702,28948.195994056954,5.4008884,5359.895,14.533313,16258.26969597729,10.7963705,1505.9014,14.810857,18419.322625315566,11.10896,1658.06,14.084711
Gaia DR3 5888414834429546880,5888414834429546880,228.1799961011185,-51.90001257011862,1.6213135440515742,0.0810636,0.98567057,2170.598428574956,2.1610749,1004.4069,17.345919,744.2411038876296,14.694344,50.648136,18.159258,2631.7761943553674,19.724215,133.4287,16.197273
Gaia DR3 6071180987282502272,6071180987282502272,182.09391235184538,-58.89300239501142,0.9943101621036055,0.049714226,1.2502091,5645.054283815238,39.165688,144.13266,16.308197,2474.0116012004482,67.9097,36.4309,16.855038,5747.673666373735,127.01886,45.250553,15.349165
Gaia DR3 3099398728950727168,3099398728950727168,101.65933709660054,-7.248094608349971,0.5768248157811301,0.028840497,0.9870037,20730.80460437124,6.7317734,3079.546,14.895826,10517.555323568318,16.180065,650.0317,15.283755,14779.83503937647,16.03809,921.54584,14.323722
Gaia DR3 5510358726269701248,5510358726269701248,111.48960043647264,-46.443650172518936,0.3761526493930722,0.018807149,1.0799712,19336.56428084295,4.9800396,3882.8135,14.971418,7891.196396583116,12.389933,636.9039,15.595685,16369.812637465151,14.869304,1100.9132,14.212787
Gaia DR3 6031766961433528704,6031766961433528704,248.47202205160272,-30.223575781710537,0.7513586672659666,0.037566967,0.97737116,11331.66229770727,4.1483107,2731.633,15.551633,4848.702842912099,10.939814,443.21622,16.124477,9364.23307706166,12.270321,763.1612,14.819215
Gaia DR3 6722188593563232384,6722188593563232384,279.0257343950106,-43.1729993553071,0.5947252803794114,0.029735496,0.94577265,13483.803634636988,4.723241,2854.7778,15.362836,7133.168002726104,19.6557,362.90582,15.705336,9095.226227040881,17.26278,526.8692,14.850862
Gaia DR3 827371577800580608,827371577800580608,150.1362798292369,51.573033955196166,1.132057455915858,0.05660141,1.040624,3166.836255155935,1.6765908,1888.8546,16.935802,1165.0835784409417,7.4979186,155.3876,17.67265,2853.725760323763,7.0854535,402.7584,16.109365
Gaia DR3 2153348069363283072,2153348069363283072,285.56324183449675,56.83711510749569,0.8530478485139293,0.04265129,1.106321,6048.379272345222,2.906944,2080.6658,16.233269,2746.523951213033,9.439496,290.96088,16.741583,4651.617844411774,14.019876,331.78738,15.578885
Gaia DR3 5238314604407932800,5238314604407932800,167.4732276679929,-66.98926164796268,0.5791455915178496,0.02895653,1.0312093,8616.281670392073,6.766083,1273.452,15.849067,3673.317651827077,12.963503,283.35843,16.425896,7127.2267661372625,19.83268,359.36783,15.115594
Gaia DR3 1622865835314640256,1622865835314640256,239.38252034228682,57.84798774353096,1.0380950971586675,0.05190341,1.0268384,2949.4859056889277,2.0169327,1462.362,17.013,1146.18123140409,9.7053175,118.098274,17.690409,2550.283883482942,8.153095,312.79947,16.231424
Gaia DR3 2898447757607333504,2898447757607333504,94.69383070183527,-28.4484566833986,0.8354701479007715,0.041772425,1.0812489,4854.443251976059,2.1735976,2233.368,16.47202,2254.362020208092,9.902801,227.64894,16.955982,3624.6958027944047,13.452003,269.45398,15.849716
Gaia DR3 5550077003272289408,5550077003272289408,91.87362072248628,-50.44065888189049,0.21466785093180216,0.010733115,1.046791,59473.73240592959,7.986999,7446.318,13.751554,28130.423962126704,18.6088,1511.6731,14.215602,44650.51603379538,21.32538,2093.7734,13.123329
Gaia DR3 1965903911181044480,1965903911181044480,323.3144735784409,39.44452854710143,1.0871774478232576,0.054357465,0.9721557,3118.326760454756,2.61328,1193.2616,16.952562,979.6678063231351,6.7045727,146.11935,17.860846,3086.104723606081,9.48832,325.25302,16.024368
Gaia DR3 4645327329025960704,4645327329025960704,38.016937459872636,-70.72933717942566,0.9610491584961247,0.048051212,1.0798502,3393.4230278438486,2.082942,1629.149,16.860771,1332.6676740397818,11.055034,120.54849,17.526737,2896.8153238722725,11.631441,249.05042,16.093094
Gaia DR3 4471604530501904768,4471604530501904768,272.2616894728399,5.377072483742495,0.7620314127663022,0.038100578,0.98338896,10149.417870283953,3.7455194,2709.749,15.671264,4983.576639090728,11.472783,434.38254,16.094688,7381.731544787068,10.886433,678.0671,15.0775
Gaia DR3 5415072467328074752,5415072467328074752,152.98274709174572,-44.14543141283007,0.8930281864156782,0.04465025,1.194209,4917.048111215323,2.2279537,2206.9795,16.458105,2108.703047697308,7.8711476,267.90286,17.028503,4163.411611791366,7.597489,547.99835,15.699272
Gaia DR3 5694576298875473408,5694576298875473408,123.35366036888114,-25.918787632629428,0.22608189181843877,0.0113038,1.0169338,174992.5381505461,28.429586,6155.297,12.579818,60241.17547514788,40.741608,1478.6156,13.388808,165525.63494067,78.752396,2101.8489,11.700732
Gaia DR3 5694460605329129984,5694460605329129984,124.25992808626586,-25.995556586698946,0.8823058733137762,0.044114143,1.0785944,5798.661169132995,2.2020602,2633.289,16.279047,2785.608064809499,10.336822,269.484,16.726242,4280.282239001145,9.628914,444.5239,15.669214
Gaia DR3 5860562216385465088,5860562216385465088,184.57953927614386,-66.20778242203349,1.3957530656826262,0.06978584,1.0007105,2399.6217558089393,1.727175,1389.3333,17.23701,710.5948608592653,5.2612023,135.0632,18.209488,2421.227032774969,5.900218,410.3623,16.287807
Gaia DR3 4889396752657863296,4889396752657863296,64.3239303191767,-27.56212553373815,0.9174649723459563,0.04587205,1.0146129,4507.336922713004,1.8166008,2481.1929,16.552567,2153.181091406563,8.4572735,254.59518,17.00584,3363.911807387007,7.399196,454.63205,15.930784
Gaia DR3 4247004026124485504,4247004026124485504,301.0564133817461,3.179286644239999,0.7301260604549138,0.036505353,1.0418167,12037.916072048374,3.1652029,3803.2053,15.485989,6049.668920862374,8.686069,696.47955,15.884213,8597.311290354628,8.382719,1025.5994,14.911989
Gaia DR3 6056106476727433984,6056106476727433984,196.16685344810313,-59.87812375315225,0.638037134359764,0.031901024,0.9938983,9711.098728927025,2.5593183,3794.4084,15.719196,3745.4965229116146,7.004624,534.7177,16.404768,8569.879036072865,7.980739,1073.8202,14.915459
